gw0_x,gw0_y,an0_x,an0_y,an1_x,an1_y,en0_x,en0_y
0,0,0,0,0,0,0,8
node_id,packet_id,rssi,snr,timestamp,ticks,temp,humi
AN1,00180,-81,6,1760677067,190388089,39.3,30.2
GW0,00181,-77,8,1760677097,186910537,39.8,29.2
AN0,00181,-74,8,1760677097,186910420,39.8,29.2
AN1,00181,-82,7,1760677097,186910461,39.8,29.2
GW0,00182,-76,8,1760677127,183698578,39.7,28.5
AN0,00182,-73,8,1760677127,183698216,39.7,28.5
AN1,00182,-78,7,1760677127,183698683,39.7,28.5
GW0,00183,-76,8,1760677157,180083839,39.2,28.8
AN0,00183,-73,8,1760677157,180084014,39.2,28.8
AN1,00183,-81,6,1760677157,180083892,39.2,28.8
GW0,00184,-79,8,1760677187,175896859,38.3,31.1
AN0,00184,-73,7,1760677187,175896857,38.3,31.1
AN1,00184,-83,6,1760677187,175896643,38.3,31.1
GW0,00185,-77,7,1760677217,171866836,39.0,29.8
AN0,00185,-73,7,1760677217,171866905,39.0,29.8
AN1,00185,-82,6,1760677217,171866917,39.0,29.8
GW0,00186,-75,8,1760677247,167675760,39.0,29.9
AN0,00186,-71,8,1760677247,167675797,38.9,30.0
AN1,00186,-85,5,1760677247,167675761,38.9,30.0
GW0,00187,-76,7,1760677277,164013355,38.9,30.1
AN0,00187,-71,8,1760677277,164013162,38.9,30.2
AN1,00187,-92,-1,1760677277,164013406,38.9,30.2
GW0,00188,-78,8,1760677307,159471035,39.2,30.2
AN0,00188,-73,7,1760677307,159470720,39.3,30.1
AN1,00188,-83,6,1760677307,159470690,39.3,30.1
GW0,00189,-80,8,1760677337,155823059,39.5,30.4
AN0,00189,-73,8,1760677337,155822566,39.5,30.4
AN1,00189,-83,6,1760677337,155822533,39.5,30.4
GW0,00190,-77,8,1760677367,153155601,41.0,28.3
AN0,00190,-73,7,1760677367,153154934,41.0,28.3
AN1,00190,-91,0,1760677367,153155502,41.0,28.2
GW0,00191,-78,8,1760677397,150084919,41.7,27.2
AN0,00191,-71,8,1760677397,150085273,41.7,27.2
AN1,00191,-82,7,1760677397,150085073,41.6,27.2
GW0,00192,-76,8,1760677427,147072364,41.3,27.5
AN0,00192,-70,7,1760677427,147072446,41.3,27.5
AN1,00192,-81,6,1760677427,147072169,41.3,27.7
GW0,00193,-74,8,1760677457,144286086,40.9,27.5
AN0,00193,-73,8,1760677457,144285943,40.9,27.6
