gw0_x,gw0_y,an0_x,an0_y,an1_x,an1_y,en0_x,en0_y
0,0,85.9,-107.3,30.5,-154.1,10.8,-16.3
node_id,packet_id,rssi,snr,timestamp,ticks,temp,humi
AN0,00048,-93,-2,1760327864,318381652,32.3,47.3
AN1,00048,-78,6,1760327864,318382523,32.3,47.3
GW0,00049,-71,8,1760327894,315376204,32.6,46.7
AN0,00049,-88,0,1760327894,315376122,32.6,46.7
AN1,00049,-78,5,1760327894,315376343,32.6,46.7
GW0,00050,-71,8,1760327924,312209962,32.9,45.7
AN0,00050,-88,1,1760327924,312210120,32.9,45.7
AN1,00050,-80,5,1760327924,312210672,32.9,45.7
GW0,00051,-70,7,1760327954,308729160,32.5,45.9
AN0,00051,-95,-4,1760327954,308729004,32.5,45.9
AN1,00051,-80,6,1760327954,308729646,32.5,45.9
GW0,00052,-70,8,1760327984,306638403,32.2,46.6
AN0,00052,-91,-1,1760327984,306638144,32.2,46.6
AN1,00052,-79,6,1760327984,306638527,32.2,46.6
GW0,00053,-69,7,1760328014,305286964,31.8,45.2
AN0,00053,-89,-1,1760328014,305286462,31.8,45.2
AN1,00053,-79,5,1760328014,305287271,31.8,45.2
GW0,00054,-70,7,1760328044,305318866,31.5,46.2
AN0,00054,-87,2,1760328044,305318889,31.5,46.2
AN1,00054,-79,6,1760328044,305319629,31.5,46.2
GW0,00055,-71,8,1760328074,306208346,31.2,47.0
AN0,00055,-87,2,1760328074,306208278,31.2,47.0
AN1,00055,-78,5,1760328074,306209070,31.2,47.0
GW0,00056,-71,8,1760328104,307424698,31.0,47.0
AN0,00056,-91,-3,1760328104,307424359,31.0,46.9
AN1,00056,-79,5,1760328104,307425202,31.0,46.9
GW0,00057,-69,8,1760328134,309290307,30.7,47.8
AN0,00057,-94,-4,1760328134,309289904,30.7,47.8
AN1,00057,-79,5,1760328134,309290697,30.7,47.8
GW0,00058,-70,8,1760328164,311113910,30.8,47.6
AN0,00058,-92,-2,1760328164,311113952,30.8,47.6
AN1,00058,-79,6,1760328164,311114417,30.8,47.6
GW0,00059,-71,8,1760328194,312765609,30.7,48.1
AN0,00059,-95,-4,1760328194,312765514,30.7,48.1
AN1,00059,-78,5,1760328194,312766316,30.7,48.1
GW0,00060,-69,8,1760328224,313479959,30.6,48.3
AN0,00060,-94,-3,1760328224,313479552,30.6,48.3
AN1,00060,-78,5,1760328224,313480254,30.6,48.3
GW0,00061,-69,8,1760328254,312420312,30.7,49.2
AN0,00061,-92,-4,1760328254,312420290,30.7,49.2
AN1,00061,-81,5,1760328254,312421160,30.7,49.2
GW0,00062,-69,7,1760328284,312017140,31.0,48.3
AN0,00062,-101,-9,1760328284,312016879,31.0,48.3
AN1,00062,-79,6,1760328284,312017995,31.0,48.3
GW0,00065,-70,8,1760328374,312525631,30.9,47.0
AN0,00065,-100,-8,1760328374,312524808,30.9,47.0
AN1,00065,-79,6,1760328374,312525758,30.9,47.0
GW0,00066,-70,8,1760328404,312008365,31.0,47.2
AN0,00066,-97,-5,1760328404,312007517,31.0,47.2
AN1,00066,-78,5,1760328404,312008201,31.0,47.2
GW0,00067,-70,8,1760328434,310710201,31.0,46.5
AN0,00067,-94,-3,1760328434,310709618,31.0,46.5
AN1,00067,-78,5,1760328434,310710609,31.0,46.5
GW0,00068,-70,8,1760328464,309254395,31.1,46.1
AN0,00068,-93,-2,1760328464,309253913,31.1,46.1
AN1,00068,-79,6,1760328464,309254311,31.1,46.1
GW0,00069,-71,8,1760328494,305962191,31.2,46.6
AN0,00069,-97,-5,1760328494,305962022,31.2,46.6
AN1,00069,-80,6,1760328494,305962117,31.2,46.6
GW0,00070,-70,8,1760328524,303065044,31.2,47.1
AN0,00070,-100,-8,1760328524,303064486,31.2,47.1
AN1,00070,-80,6,1760328524,303065062,31.2,47.1
GW0,00071,-70,8,1760328554,299981190,31.9,47.5
AN0,00071,-98,-6,1760328554,299980446,31.9,47.5
AN1,00071,-78,5,1760328554,299980993,31.9,47.5
GW0,00072,-69,8,1760328584,296948604,32.6,46.3
AN0,00072,-93,-2,1760328584,296948792,32.6,46.3
AN1,00072,-80,6,1760328584,296948883,32.6,46.3
GW0,00073,-71,7,1760328614,294301485,32.4,45.0
AN0,00073,-96,-4,1760328614,294301558,32.4,45.0
AN1,00073,-79,6,1760328614,294301530,32.4,45.0
GW0,00074,-70,8,1760328644,291621580,32.1,45.0
AN0,00074,-97,-5,1760328644,291621691,32.1,45.0
AN1,00074,-79,6,1760328644,291621920,32.1,45.0
GW0,00075,-69,7,1760328674,288824367,31.8,46.1
AN0,00075,-97,-7,1760328674,288824197,31.8,46.1
AN1,00075,-77,6,1760328674,288824828,31.8,46.1
GW0,00076,-69,7,1760328704,285278538,32.0,46.3
AN0,00076,-97,-7,1760328704,285278494,32.0,46.3
AN1,00076,-79,6,1760328704,285278669,32.0,46.3
GW0,00077,-70,8,1760328734,283341808,32.6,46.4
AN0,00077,-97,-5,1760328734,283341435,32.6,46.4
AN1,00077,-79,6,1760328734,283342007,32.6,46.4
GW0,00078,-70,8,1760328764,281616899,33.1,43.8
AN0,00078,-92,-1,1760328764,281616951,33.1,43.8
AN1,00078,-79,6,1760328764,281617776,33.1,43.8
GW0,00079,-70,8,1760328794,280611067,33.0,43.4
AN0,00079,-90,-2,1760328794,280610601,33.0,43.4
AN1,00079,-80,6,1760328794,280611521,33.0,43.4
GW0,00080,-69,8,1760328824,278468644,33.1,43.8
AN0,00080,-96,-6,1760328824,278468560,33.1,43.8
AN1,00080,-79,5,1760328824,278468916,33.1,43.8
GW0,00081,-69,8,1760328854,276698439,33.0,44.0
AN0,00081,-86,0,1760328854,276698347,33.0,44.0
AN1,00081,-79,5,1760328854,276698700,33.0,44.0
GW0,00082,-69,8,1760328884,275002289,33.0,44.5
AN0,00082,-90,-2,1760328884,275002014,33.0,44.5
AN1,00082,-80,5,1760328884,275002760,33.0,44.5
